"","Bcells_stromal_area","Bcells_tumorfront_area","CD4.T.cells.memory_stromal_area","CD4.T.cells.memory_tumorfront_area","CD4.T.cells.naive_stromal_area","CD4.T.cells.naive_tumorfront_area","CD4.T.cells.regulatory_stromal_area","CD4.T.cells.regulatory_tumorfront_area","CD8.T.cells.memory_intratumor_area","CD8.T.cells.memory_stromal_area","CD8.T.cells.memory_tumorfront_area","CD8.T.cells.naive_intratumor_area","CD8.T.cells.naive_stromal_area","CD8.T.cells.naive_tumorfront_area","DCs_intratumor_area","DCs_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","Granulocytes_stromal_area","Granulocytes_tumorfront_area","M1.macrophages_intratumor_area","M1.macrophages_stromal_area","M1.macrophages_tumorfront_area","M2.macrophages_intratumor_area","M2.macrophages_stromal_area","M2.macrophages_tumorfront_area","Monocytes_intratumor_area","Monocytes_tumorfront_area","Tumor.non.proliferating_intratumor_area","Tumor.non.proliferating_stromal_area","Tumor.non.proliferating_tumorfront_area","Tumor.proliferating_intratumor_area","Tumor.proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Bcells_stromal_eccentricity","Bcells_tumorfront_eccentricity","CD4.T.cells.memory_stromal_eccentricity","CD4.T.cells.memory_tumorfront_eccentricity","CD4.T.cells.naive_stromal_eccentricity","CD4.T.cells.naive_tumorfront_eccentricity","CD4.T.cells.regulatory_stromal_eccentricity","CD4.T.cells.regulatory_tumorfront_eccentricity","CD8.T.cells.memory_intratumor_eccentricity","CD8.T.cells.memory_stromal_eccentricity","CD8.T.cells.memory_tumorfront_eccentricity","CD8.T.cells.naive_intratumor_eccentricity","CD8.T.cells.naive_stromal_eccentricity","CD8.T.cells.naive_tumorfront_eccentricity","DCs_intratumor_eccentricity","DCs_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","Granulocytes_stromal_eccentricity","Granulocytes_tumorfront_eccentricity","M1.macrophages_intratumor_eccentricity","M1.macrophages_stromal_eccentricity","M1.macrophages_tumorfront_eccentricity","M2.macrophages_intratumor_eccentricity","M2.macrophages_stromal_eccentricity","M2.macrophages_tumorfront_eccentricity","Monocytes_intratumor_eccentricity","Monocytes_tumorfront_eccentricity","Tumor.non.proliferating_intratumor_eccentricity","Tumor.non.proliferating_stromal_eccentricity","Tumor.non.proliferating_tumorfront_eccentricity","Tumor.proliferating_intratumor_eccentricity","Tumor.proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Bcells_tumorfront_celldistance","CD4.T.cells.memory_tumorfront_celldistance","CD4.T.cells.naive_tumorfront_celldistance","CD4.T.cells.regulatory_tumorfront_celldistance","CD8.T.cells.memory_tumorfront_celldistance","CD8.T.cells.naive_tumorfront_celldistance","DCs_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","Granulocytes_tumorfront_celldistance","M1.macrophages_tumorfront_celldistance","M2.macrophages_tumorfront_celldistance","Monocytes_tumorfront_celldistance","Tumor.non.proliferating_tumorfront_celldistance","Tumor.proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance"
"S01_1",57.4918032786885,0,57.4424778761062,52,59.7916666666667,0,56.0909090909091,0,0,54.031746031746,95,0,62.625,0,85,53.25,58.3592677345538,58.1111111111111,51.1676646706587,61,21,54.3604651162791,44.7272727272727,101.833333333333,54.3225806451613,73.375,0,0,135.082474226804,50.2857142857143,108.412213740458,118.391304347826,124.780487804878,57.1927710843374,59.5254237288136,0.562885632905548,0,0.592591118358403,0.660571868475527,0.603412858632678,0,0.670126272462559,0,0,0.586076208797563,0.473093763090449,0,0.529441300806739,0,0.682856890656103,0.684256906466744,0.632417197840368,0.637131328185255,0.598047032827281,0.475917353470685,0.720379993072217,0.593919409608556,0.61470211126113,0.787385003524811,0.606336338313928,0.608105998415962,0,0,0.677858036418054,0.524514155000604,0.663795583842975,0.609996000273926,0.685647092514609,0.617431542573257,0.627543482037675,0,-12.3447057639012,0,0,11.0248724535892,0,-0.169875701821955,-9.73166826808257,16.1621355197295,-12.7868976330934,3.33066460785796,0,9.96565909191061,10.8827000375522,-9.6052475220367
"S01_2",45.9310344827586,67.5,49.6296296296296,53.2,50.4444444444444,16,56.025641025641,53.6666666666667,75.5,43.1111111111111,55.3333333333333,0,61,0,0,177,44.7567567567568,54.8558558558559,54.2007575757576,61.1739130434783,101.25,55.5578512396694,53.625,57.8,55.1506849315069,65.3846153846154,0,23,136.573667711599,80.2,91.7429906542056,131.444444444444,107.1625,56.8397863818425,62.8741007194245,0.558098962546917,0.651180359341062,0.614685545045215,0.629726611990911,0.540292551465374,0.508354164139043,0.612611435680047,0.672038617174497,0.544683391881422,0.528511829999552,0.63183012829603,0,0.42243870979934,0,0,0.295977531773574,0.627140769555568,0.651766912500356,0.60583943090399,0.630463590956338,0.707707686298195,0.618753080033669,0.604823054897349,0.59183634525444,0.617651226163768,0.596557999348646,0,0.583858903881125,0.633912597894482,0.607487756331206,0.64663194483247,0.579825562975163,0.642167494961816,0.619740019758563,0.630732129343995,-1.48279148828439,-9.76070226006314,-13.0346701145172,-12.55482946899,0.995265255143705,0,11.8427144713321,-8.74240014715328,-4.01525011474551,-7.31825780836776,-3.81102488791584,-4.06654252870571,9.51930015287833,9.02335372071597,-10.4673888802406
"S01_3",57.9607843137255,61.75,60.9545454545455,73.2,54.875,0,53.5882352941176,55,128,56.1818181818182,61.875,0,78.75,0,82,63.3076923076923,61.7916666666667,67.6986301369863,54.5875,64.1944444444444,92.125,71.6891891891892,74.359375,79.2,62.5789473684211,53.7272727272727,0,0,154.369509043928,57.5,103.013289036545,179.25,128.1,66.7168367346939,73.224,0.62727459291586,0.67525356667864,0.622972628036871,0.742298640025238,0.589045195409294,0,0.549557952754701,0.692939275918961,0.596063010435385,0.604615329576369,0.566380755145475,0,0.625134800364205,0,0.472875825254744,0.638672074465741,0.616675166440414,0.632251941395874,0.620924551142492,0.614436306852276,0.595911877943611,0.620786988305441,0.631629160923124,0.565531290602656,0.629770350122915,0.64908131617415,0,0,0.646019845466769,0.707943233073878,0.658469430008974,0.690135104166687,0.668565188357484,0.626265043318515,0.63800461803717,-13.862465677165,-15.6205717715444,0,-15.5039857794757,-9.38948954634585,0,-4.29454854573467,-10.5373806359605,-0.385979239263795,-8.69946807533942,-1.02501499903154,0,7.98377169202634,7.89132254575292,-11.6142683519256
"S02_1",0,0,77.75,63.6666666666667,72,0,56.3333333333333,0,47,60,0,0,35,0,131,0,81.0132450331126,67.232044198895,69.4,0,84.5,54.6666666666667,83.6666666666667,36,51,70,0,0,124.211428571429,41.25,96.0748663101604,128.492063492063,121.54954954955,74.9885057471264,78.7606837606838,0,0,0.677826207621005,0.678685190507793,0.646182991284206,0,0.601392380496857,0,0.706611252322078,0.620279988262828,0,0,0.51810938641489,0,0.665165302354418,0,0.725980894241666,0.689894180625718,0.693703533433372,0,0.778910192707743,0.520132253788533,0.598456058410801,0.609751960754895,0.458310337089036,0.6622318836466,0,0,0.640240405152339,0.656365075938903,0.644585952574091,0.630487463172239,0.669091060522443,0.714699864946905,0.730218755359418,0,-13.1606402186723,0,0,0,0,0,-8.55905303570998,0,2.08074911148816,3.63991175198691,0,10.5023301217105,10.5066383758787,-9.95151977679667
"S02_2",40.2222222222222,53.3157894736842,37.6351351351351,50.4516129032258,45.4528301886792,45.1666666666667,39.8571428571429,42.75,75.3,42.2698412698413,57.1230769230769,0,47.2758620689655,52.2,63.6666666666667,62.8666666666667,32.9251336898396,45.2561983471074,34.9375,50.2857142857143,80,40.9120879120879,57.875,67.3846153846154,43.3050847457627,59.2045454545455,0,29.5,146.823529411765,40.2,83.1439393939394,206.5,124.775,39.728813559322,52.2992125984252,0.607427886514819,0.624107940390209,0.612985103941833,0.608218941620052,0.598595580272726,0.643501496599829,0.601116760429191,0.637838721810629,0.580186841404982,0.596284724342724,0.609326798501718,0,0.638419231330112,0.636892972750166,0.718776618139659,0.562080768789639,0.688377192748869,0.645705057343186,0.615489802330908,0.577269194845811,0.750742768861459,0.631604637405131,0.621650500241848,0.594692233579001,0.624540007505288,0.601556622941849,0,0.530789247710362,0.612543938754996,0.657329038983338,0.68016291103088,0.768994159408264,0.674750699621859,0.667152759560172,0.648617723120684,-9.71595029536551,-13.2293542147927,-9.08685102796505,-14.554965303593,-0.0349963789230413,-16.2163971175559,9.86088929238974,-8.42778887939487,-4.91688641573392,-6.06655418874301,1.06118583685459,-5.0249912485932,6.72192215656692,10.2663431824863,-9.36820612812643
"S02_3",43.2857142857143,52.1666666666667,46.5294117647059,54.304347826087,51.375,56.25,53.25,55.25,88.5454545454545,46.9565217391304,65.1071428571429,66,56.6666666666667,62,92.5,77.95,59.4545454545455,56,0,59.5454545454545,57.5,50,53.1428571428571,70.2962962962963,57.8,78.52,0,0,155.263698630137,57.5,103,94.125,119.962732919255,56.6282051282051,61.55,0.676531648111489,0.625797978836816,0.594175086307865,0.617218552189733,0.54796216004486,0.59736301645776,0.669695206282835,0.677557180217939,0.58581978577305,0.589272871371975,0.616548659146225,0.670793651822964,0.707458985473715,0.601493647632277,0.59166127392833,0.610278954553543,0.685146554802397,0.67704804375242,0,0.547367888825055,0.672011308427758,0.629186371261081,0.621842944086395,0.597495051703754,0.577197072427074,0.646958855785489,0,0,0.650551296951509,0.509224610436788,0.67064496517848,0.691890845239479,0.66503013399586,0.64772739067526,0.689609169266437,-7.32288405710988,-10.3908010968066,-13.9243808395886,-15.8113728767159,-0.167117535729805,2.63040933524004,8.29718297049305,-10.1356031969006,8.02993378924418,-4.80302004821577,7.47374463184981,0,9.73592908985762,9.24925616582883,-8.81322806894525
"S03_1",62.5,0,49.4202898550725,65.4117647058823,46.25,58,51.25,48.5,89.2413793103448,48.9384615384615,63.8055555555556,123.5,58.8,71.3333333333333,184,66,46.4742547425474,56.2727272727273,80,51,64.9166666666667,44.9473684210526,70,89.75,58.375,68.7931034482759,18,74,147.437774524158,0,103.181506849315,142.87962962963,132.142857142857,62.2236842105263,79.6910569105691,0.357605134505356,0,0.576877224103586,0.595749960954952,0.538126817242648,0.65444673816398,0.525624738338173,0.797473286575038,0.605295778572522,0.561987741618051,0.562617703004298,0.61796305008673,0.617266293985803,0.550760277745695,0.768062197520554,0.54662439903247,0.658235006968448,0.617003602962179,0.567681661041268,0.619400598090186,0.542219913924395,0.62613757638719,0.54572953404852,0.57317522077836,0.595138068080322,0.603455132902702,0.831722606683153,0.317977826840059,0.59648645952314,0,0.620143620946111,0.600785859361131,0.603185572758591,0.648270906644,0.604960523895826,0,-8.0101192001256,-5.38815271726177,-15.9071966316965,-3.47768042438306,-4.58883412498853,-0.94153906371098,-10.0462406149762,-1.47198886159928,9.42943600236892,8.58809452778616,-0.271320098155254,10.0041356618327,12.0338319141296,-8.62255820052503
"S03_2",51.260579064588,49.8076923076923,48.152034261242,50.3157894736842,50.95,52.8,43,26.3333333333333,0,50.4041700080192,50.6315789473684,0,52.0344827586207,45.4615384615385,0,46.5,45.9420765027322,53.0425531914894,44.7142857142857,0,0,41.6923076923077,35.8,73.3333333333333,45.6363636363636,64.3333333333333,0,0,165.2,0,142,0,65.5,56.5466666666667,59.9411764705882,0.598035610726693,0.60418127770592,0.588273664674514,0.555042342819616,0.578521613084508,0.60392064458928,0.605080946358215,0.577712452362865,0,0.597419199781076,0.603826416881663,0,0.598185244682463,0.635355838907219,0,0.577865699482379,0.667454423609255,0.606373866649132,0.693023731319006,0,0,0.583557458656817,0.544404344925333,0.521469076512028,0.698218305417579,0.482705495166767,0,0,0.745609669633465,0,0.598287641509145,0,0.712683072774602,0.626329928341994,0.600970458072993,-12.1540844510192,-11.4239578521313,-9.3383388823921,-5.81235962146016,-9.28128053318571,-13.0775288805248,9.02396439050033,-9.82426964578313,0,-7.86675008690979,7.18426028219895,0,8.03862350757954,6.02772490797437,-8.90033007190176
"S03_3",48.7586206896552,0,51.0535714285714,60.1875,53.3859649122807,58.4444444444444,60,76.875,52,52.2412060301508,57.9523809523809,57,54.6666666666667,82.6666666666667,0,88.9333333333333,48.6974358974359,53.6485148514851,61.1818181818182,49.5,0,56.0684931506849,57.7241379310345,116.5,61.6851851851852,70.1176470588235,42.5,0,105.846153846154,75.1111111111111,100.555555555556,91,100.850340136054,60.4814814814815,68.3384615384615,0.579360519455895,0,0.592981913449334,0.572805703250881,0.609961293074106,0.652815824765798,0.600458485545267,0.684721235322954,0.594416561449666,0.594437316974606,0.595433019345651,0.593536752819753,0.650323106253885,0.666017809033373,0,0.692245495463599,0.656451491066714,0.653924565035462,0.69971788212034,0.64883663581318,0,0.627294549925057,0.60718384053425,0.581574977597582,0.602850546560367,0.543632154701597,0.708573335827065,0,0.636100272716164,0.661249895520741,0.635020669731153,0.653280760326547,0.661751403978666,0.61906232852113,0.633135100189025,0,-9.75732434975246,-8.55006699434488,-6.89134084783657,-2.20096962854968,-10.153311199063,-0.7696955622916,-9.22812516791945,6.6374169625,-5.28262952372453,-1.63044939900231,0,7.46475017388714,8.8770224437438,-9.22668552865832
"S04_1",52.3333333333333,0,55.1954022988506,66.375,55.2307692307692,50,63,0,77.6666666666667,54.741935483871,70.5238095238095,0,53.2727272727273,46,85,73.5,56.2378048780488,57.3809523809524,27.3333333333333,0,116,56.75,74.1666666666667,96,60.8,99.1219512195122,0,0,140.07,0,105.362711864407,275.5,37,63.136476426799,71.9649122807018,0.5097195034741,0,0.549727404886989,0.641089395997491,0.613940913463443,0.644571616881475,0.733373302486989,0,0.678052073165172,0.562002241965535,0.623994223438874,0,0.546684855431309,0.41080474925084,0.640087545523722,0.659117136046772,0.637304443558815,0.634597615951328,0.633966451686946,0,0.854762647894755,0.602548950292722,0.636210328413565,0.643026892541444,0.558187246861035,0.66377339145663,0,0,0.665899353020792,0,0.651937815670627,0.777069499247521,0.765574066172733,0.614652268851098,0.685981354727092,0,-9.2040542375,-11.42195,0,-2.10239972380952,-18.82633,8.188521,-10.1707072309524,0,3.60283266666667,8.1730859902439,0,8.91749916677966,11.33736,-10.3637698842105
